P,Outcome,Importance Raiting,Satisfaction Raiting
P1,Reduce the time it takes to know what signals will be run on my Diff,3,4
P2,Reduce the time it takes to know what signals will be run on my Diff,3,2
P3,Reduce the time it takes to know what signals will be run on my Diff,3,4
P4,Reduce the time it takes to know what signals will be run on my Diff,3,4
P5,Reduce the time it takes to know what signals will be run on my Diff,4,4
P6,Reduce the time it takes to know what signals will be run on my Diff,5,4
P7,Reduce the time it takes to know what signals will be run on my Diff,2,3
P8,Reduce the time it takes to know what signals will be run on my Diff,2,3
P9,Reduce the time it takes to know what signals will be run on my Diff,5,5
P10,Reduce the time it takes to know what signals will be run on my Diff,3,4
P11,Reduce the time it takes to know what signals will be run on my Diff,5,3
P12,Reduce the time it takes to know what signals will be run on my Diff,4,4
P13,Reduce the time it takes to know what signals will be run on my Diff,5,4
P14,Reduce the time it takes to know what signals will be run on my Diff,5,3
P15,Reduce the time it takes to know what signals will be run on my Diff,3,4
P16,Reduce the time it takes to know what signals will be run on my Diff,4,4
P17,Reduce the time it takes to know what signals will be run on my Diff,5,5
P18,Reduce the time it takes to know what signals will be run on my Diff,3,3
P19,Reduce the time it takes to know what signals will be run on my Diff,5,4
P20,Reduce the time it takes to know what signals will be run on my Diff,3,3
P21,Reduce the time it takes to know what signals will be run on my Diff,3,1
P22,Reduce the time it takes to know what signals will be run on my Diff,1,3
P23,Reduce the time it takes to know what signals will be run on my Diff,1,3
P24,Reduce the time it takes to know what signals will be run on my Diff,3,4
P25,Reduce the time it takes to know what signals will be run on my Diff,3,3
P26,Reduce the time it takes to know what signals will be run on my Diff,3,4
P27,Reduce the time it takes to know what signals will be run on my Diff,4,3
P28,Reduce the time it takes to know what signals will be run on my Diff,4,4
P29,Reduce the time it takes to know what signals will be run on my Diff,3,3
P30,Reduce the time it takes to know what signals will be run on my Diff,4,4
P31,Reduce the time it takes to know what signals will be run on my Diff,3,3
P32,Reduce the time it takes to know what signals will be run on my Diff,5,3
P33,Reduce the time it takes to know what signals will be run on my Diff,4,2
P34,Reduce the time it takes to know what signals will be run on my Diff,4,4
P35,Reduce the time it takes to know what signals will be run on my Diff,3,2
P36,Reduce the time it takes to know what signals will be run on my Diff,4,5
P37,Reduce the time it takes to know what signals will be run on my Diff,2,3
P38,Reduce the time it takes to know what signals will be run on my Diff,4,4
P39,Reduce the time it takes to know what signals will be run on my Diff,3,4
P40,Reduce the time it takes to know what signals will be run on my Diff,4,4
P41,Reduce the time it takes to know what signals will be run on my Diff,4,5
P42,Reduce the time it takes to know what signals will be run on my Diff,5,4
P43,Reduce the time it takes to know what signals will be run on my Diff,3,2
P44,Reduce the time it takes to know what signals will be run on my Diff,3,4
P45,Reduce the time it takes to know what signals will be run on my Diff,3,3
P46,Reduce the time it takes to know what signals will be run on my Diff,4,4
P47,Reduce the time it takes to know what signals will be run on my Diff,3,3
P48,Reduce the time it takes to know what signals will be run on my Diff,4,4
P49,Reduce the time it takes to know what signals will be run on my Diff,2,4
P50,Reduce the time it takes to know what signals will be run on my Diff,3,3
P51,Reduce the time it takes to know what signals will be run on my Diff,3,3
P52,Reduce the time it takes to know what signals will be run on my Diff,4,2
P53,Reduce the time it takes to know what signals will be run on my Diff,4,4
P54,Reduce the time it takes to know what signals will be run on my Diff,4,4
P55,Reduce the time it takes to know what signals will be run on my Diff,3,3
P56,Reduce the time it takes to know what signals will be run on my Diff,3,4
P57,Reduce the time it takes to know what signals will be run on my Diff,4,2
P58,Reduce the time it takes to know what signals will be run on my Diff,3,4
P59,Reduce the time it takes to know what signals will be run on my Diff,1,2
P60,Reduce the time it takes to know what signals will be run on my Diff,2,4
P61,Reduce the time it takes to know what signals will be run on my Diff,4,5
P62,Reduce the time it takes to know what signals will be run on my Diff,4,4
P1,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,4
P2,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,4
P3,Reduce the time it takes to determine which signals have failed on my Diff before landing,3,4
P4,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,4
P5,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,4
P6,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,4
P7,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,4
P8,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,3
P9,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,5
P10,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,5
P11,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,4
P12,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,4
P13,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,4
P14,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,4
P15,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,2
P16,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,5
P17,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,5
P18,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,2
P19,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,5
P20,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,4
P21,Reduce the time it takes to determine which signals have failed on my Diff before landing,5,1
P22,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,2
P23,Reduce the time it takes to determine which signals have failed on my Diff before landing,4,4
